"id","sequence","active","description","invoice_label","type_tax_use","name","amount","amount_type","tax_group_id","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"tax_template_canon_sale_0_24","0","True","Canon digital","Canon 0.24€","sale","Canon 0.24€","0.24","fixed","tax_group_digital_canon_0_24_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_0_9","0","True","Canon digital","Canon 0.9€","purchase","Canon 0.9€","0.9","fixed","tax_group_digital_canon_0_9_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_0_9","0","True","Canon digital","Canon 0.9€","sale","Canon 0.9€","0.9","fixed","tax_group_digital_canon_0_9_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_1","0","True","Canon digital","Canon 1.0€","purchase","Canon 1.0€","1.0","fixed","tax_group_digital_canon_1_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_1","0","True","Canon digital","Canon 1.0€","sale","Canon 1.0€","1.0","fixed","tax_group_digital_canon_1_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_1_1","0","True","Canon digital","Canon 1.1€","purchase","Canon 1.1€","1.1","fixed","tax_group_digital_canon_1_1_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_1_1","0","True","Canon digital","Canon 1.1€","sale","Canon 1.1€","1.1","fixed","tax_group_digital_canon_1_1_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_1_5","0","True","Canon digital","Canon 1.5€","purchase","Canon 1.5€","1.5","fixed","tax_group_digital_canon_1_5_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_1_5","0","True","Canon digital","Canon 1.5€","sale","Canon 1.5€","1.5","fixed","tax_group_digital_canon_1_5_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_2","0","True","Canon digital","Canon 2€","purchase","Canon 2€","2","fixed","tax_group_digital_canon_2_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_2","0","True","Canon digital","Canon 2€","sale","Canon 2€","2","fixed","tax_group_digital_canon_2_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_2_5","0","True","Canon digital","Canon 2.5€","purchase","Canon 2.5€","2.5","fixed","tax_group_digital_canon_2_5_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_2_5","0","True","Canon digital","Canon 2.5€","sale","Canon 2.5€","2.5","fixed","tax_group_digital_canon_2_5_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_3","0","True","Canon digital","Canon 3€","purchase","Canon 3€","3","fixed","tax_group_digital_canon_3_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_3","0","True","Canon digital","Canon 3€","sale","Canon 3€","3","fixed","tax_group_digital_canon_3_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_3_15","0","True","Canon digital","Canon 3.15€","purchase","Canon 3.15€","3.15","fixed","tax_group_digital_canon_3_15_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_3_15","0","True","Canon digital","Canon 3.15€","sale","Canon 3.15€","3.15","fixed","tax_group_digital_canon_3_15_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_3_25","0","True","Canon digital","Canon 3.25€","purchase","Canon 3.25€","3.25","fixed","tax_group_digital_canon_3_25_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_3_25","0","True","Canon digital","Canon 3.25€","sale","Canon 3.25€","3.25","fixed","tax_group_digital_canon_3_25_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_3_75","0","True","Canon digital","Canon 3.75€","purchase","Canon 3.75€","3.75","fixed","tax_group_digital_canon_3_75_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_3_75","0","True","Canon digital","Canon 3.75€","sale","Canon 3.75€","3.75","fixed","tax_group_digital_canon_3_75_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_4","0","True","Canon digital","Canon 4€","purchase","Canon 4€","4","fixed","tax_group_digital_canon_4_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_4","0","True","Canon digital","Canon 4€","sale","Canon 4€","4","fixed","tax_group_digital_canon_4_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_5","0","True","Canon digital","Canon 5€","purchase","Canon 5€","5","fixed","tax_group_digital_canon_5_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_5","0","True","Canon digital","Canon 5€","sale","Canon 5€","5","fixed","tax_group_digital_canon_5_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_5_25","0","True","Canon digital","Canon 5.25€","purchase","Canon 5.25€","5.25","fixed","tax_group_digital_canon_5_25_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_5_25","0","True","Canon digital","Canon 5.25€","sale","Canon 5.25€","5.25","fixed","tax_group_digital_canon_5_25_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_5_33","0","True","Canon digital","Canon 5.33€","purchase","Canon 5.33€","5.33","fixed","tax_group_digital_canon_5_33_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_5_33","0","True","Canon digital","Canon 5.33€","sale","Canon 5.33€","5.33","fixed","tax_group_digital_canon_5_33_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_purchase_6_45","0","True","Canon digital","Canon 6.45€","purchase","Canon 6.45€","6.45","fixed","tax_group_digital_canon_6_45_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
"tax_template_canon_sale_6_45","0","True","Canon digital","Canon 6.45€","sale","Canon 6.45€","6.45","fixed","tax_group_digital_canon_6_45_template","True","base","","invoice","",""
"","","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","","base","","refund","",""
"","","","","","","","","","","","tax","","refund","",""
