id,sequence,export_config_id/id,name,expression,fixed_value,export_type,size,alignment,apply_sign,decimal_size,bool_yes,bool_no,conditional_expression,subconfig_id/id
aeat_mod111_sub01_export_line_24,24,aeat_mod111_sub01_export_config,"Premios por la participación en juegos, concursos, rifas o combinaciones aleatorias - Rendimientos dinerarios - Número de perceptores [13]",${object.casilla_13},,integer,8,right,,,,,,
aeat_mod111_sub01_export_line_25,25,aeat_mod111_sub01_export_config,"Premios por la participación en juegos, concursos, rifas o combinaciones aleatorias - Rendimientos dinerarios - Importe de las percepciones [14]",${object.casilla_14},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_26,26,aeat_mod111_sub01_export_config,"Premios por la participación en juegos, concursos, rifas o combinaciones aleatorias - Rendimientos dinerarios - Importe de las retenciones [15]",${object.casilla_15},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_27,27,aeat_mod111_sub01_export_config,"Premios por la participación en juegos, concursos, rifas o combinaciones aleatorias - Rendimientos en especie - Número de perceptores [16]",${object.casilla_16},,integer,8,right,,,,,,
aeat_mod111_sub01_export_line_28,28,aeat_mod111_sub01_export_config,"Premios por la participación en juegos, concursos, rifas o combinaciones aleatorias - Rendimientos en especie - Importe de las percepciones [17]",${object.casilla_17},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_29,29,aeat_mod111_sub01_export_config,"Premios por la participación en juegos, concursos, rifas o combinaciones aleatorias - Rendimientos en especie - Importe de las retenciones [18]",${object.casilla_18},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_30,30,aeat_mod111_sub01_export_config,Ganancias patrimoniales derivadas de los aprovechamientos forestales de los vecinos en los montes públicos - Rendimientos dinerarios - Número de perceptores [19],${object.casilla_19},,integer,8,right,,,,,,
aeat_mod111_sub01_export_line_31,31,aeat_mod111_sub01_export_config,Ganancias patrimoniales derivadas de los aprovechamientos forestales de los vecinos en los montes públicos - Rendimientos dinerarios - Importe de las percepciones [20],${object.casilla_20},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_32,32,aeat_mod111_sub01_export_config,Ganancias patrimoniales derivadas de los aprovechamientos forestales de los vecinos en los montes públicos - Rendimientos dinerarios - Importe de las retenciones [21],${object.casilla_21},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_33,33,aeat_mod111_sub01_export_config,Ganancias patrimoniales derivadas de los aprovechamientos forestales de los vecinos en los montes públicos - Rendimientos en especie - Número de perceptores [22],${object.casilla_22},,integer,8,right,,,,,,
aeat_mod111_sub01_export_line_34,34,aeat_mod111_sub01_export_config,Ganancias patrimoniales derivadas de los aprovechamientos forestales de los vecinos en los montes públicos - Rendimientos en especie - Importe de las percepciones [23],${object.casilla_23},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_35,35,aeat_mod111_sub01_export_config,Ganancias patrimoniales derivadas de los aprovechamientos forestales de los vecinos en los montes públicos - Rendimientos en especie - Importe de las retenciones [24],${object.casilla_24},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_36,36,aeat_mod111_sub01_export_config,"Contraprestaciones por la cesión de derechos de imagen, ingresos a cuenta previstos en el artículo 92.8 de la Ley del Impuesto - Contrapartidas dinerarias o en especie - Número de perceptores [25]",${object.casilla_25},,integer,8,right,,,,,,
aeat_mod111_sub01_export_line_37,37,aeat_mod111_sub01_export_config,"Contraprestaciones por la cesión de derechos de imagen, ingresos a cuenta previstos en el artículo 92.8 de la Ley del Impuesto - Contrapartidas dinerarias o en especie - Contraprestaciones satisfechas [26]",${object.casilla_26},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_38,38,aeat_mod111_sub01_export_config,"Contraprestaciones por la cesión de derechos de imagen, ingresos a cuenta previstos en el artículo 92.8 de la Ley del Impuesto - Contrapartidas dinerarias o en especie - Importe de los ingresos a cuenta [27]",${object.casilla_27},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_39,39,aeat_mod111_sub01_export_config,Total liquidación - Suma de las retenciones e ingresos a cuenta [28],${object.casilla_28},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_40,40,aeat_mod111_sub01_export_config,"Total liquidación - Resultado a ingresar de la anterior o anteriores autoliquidaciones por el mismo concepto, ejercicio y período [29]",${object.casilla_29},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_41,41,aeat_mod111_sub01_export_config,Total liquidación - Resultado a ingresar [30],${object.casilla_30},,float,17,right,1,2,,,,
aeat_mod111_sub01_export_line_42,42,aeat_mod111_sub01_export_config,Complementaria - Declaración complementaria,${object.statement_type == 'C'},,boolean,1,left,,,X, ,,
aeat_mod111_sub01_export_line_43,43,aeat_mod111_sub01_export_config,Complementaria - Número justificante de la declaración anterior,"${object.previous_number if object.statement_type in ('C', 'S') else ''}",,string,13,left,,,,,,
aeat_mod111_sub01_export_line_44,44,aeat_mod111_sub01_export_config,Administración presentando declaración de Colegio Concertado (CC),${object.colegio_concertado},,boolean,1,left,,,X, ,,
aeat_mod111_sub01_export_line_45,45,aeat_mod111_sub01_export_config,Domiciliación - IBAN,"${object.partner_bank_id and object.partner_bank_id.acc_number and object.partner_bank_id.acc_number.replace("" "", """") or """"}",,string,34,left,,,,,,
aeat_mod111_sub01_export_line_46,46,aeat_mod111_sub01_export_config,Reservado para la Administración (389),,,string,389,left,,,,,,
aeat_mod111_sub01_export_line_47,47,aeat_mod111_sub01_export_config,Reservado para el sello electrónico de la AEAT (13),,,string,13,left,,,,,,
aeat_mod111_sub01_export_line_48,48,aeat_mod111_sub01_export_config,Indicador de fin de registro: </T11101000>,,</T11101000>,string,12,left,,,,,,
aeat_mod111_main_export_line_01,1,aeat_mod111_main_export_config,Constante: <T,,<T,string,2,left,,,,,,
aeat_mod111_main_export_line_02,2,aeat_mod111_main_export_config,Constante: 111,,111,string,3,left,,,,,,
aeat_mod111_main_export_line_03,3,aeat_mod111_main_export_config,Constante: 0,,0,string,1,left,,,,,,
aeat_mod111_main_export_line_04,4,aeat_mod111_main_export_config,Ejercicio devengo,${object.year},,string,4,left,,,,,,
aeat_mod111_main_export_line_05,5,aeat_mod111_main_export_config,Identificación Periodo,${object.period_type},,string,2,left,,,,,,
aeat_mod111_main_export_line_06,6,aeat_mod111_main_export_config,Constante: 0000>,,0000>,string,5,left,,,,,,
aeat_mod111_main_export_line_07,7,aeat_mod111_main_export_config,Constante: <AUX>,,<AUX>,string,5,left,,,,,,
aeat_mod111_main_export_line_08,8,aeat_mod111_main_export_config,Reservado para la Administración: Rellenar con blancos,,,string,70,left,,,,,,
aeat_mod111_main_export_line_09,9,aeat_mod111_main_export_config,Versión del programa,,odoo,string,4,left,,,,,,
aeat_mod111_main_export_line_10,10,aeat_mod111_main_export_config,Reservado para la Administración. Rellenar con blancos,,,string,4,left,,,,,,
aeat_mod111_main_export_line_11,11,aeat_mod111_main_export_config,NIF Empresa Desarrollo,,G87846952,string,9,left,,,,,,
aeat_mod111_main_export_line_12,12,aeat_mod111_main_export_config,Reservado para la Administración. Rellenar con blancos,,,string,213,left,,,,,,
aeat_mod111_main_export_line_13,13,aeat_mod111_main_export_config,Constante: </AUX>,,</AUX>,string,6,left,,,,,,
aeat_mod111_main_export_line_14,14,aeat_mod111_main_export_config,Contenido del fichero [sub01],,,subconfig,,,,,,,True,aeat_mod111_sub01_export_config
aeat_mod111_main_export_line_15,15,aeat_mod111_main_export_config,Constante: </T1110+Ejercicio+periodo+0000>,</T1110${object.year}${object.period_type}0000>,,string,18,left,,,,,,
aeat_mod111_main_export_line_16,16,aeat_mod111_main_export_config,"Fin de Registro. Constante CRLF (Hexadecimal 0D0A, Decimal 1310)","${""\r\n""}",,string,2,left,,,,,,
