id,account_id:id,field_number,field_type,inverse,map_parent_id:id,move_type,name,sum_type,tax_ids/id
aeat_mod390_2024_map_line_062,"l10n_es.account_common_472","62","amount","True","aeat_mod390_2024_map","refund","Rectificación de deducciones - Cuota","both","l10n_es.account_tax_template_p_req026,l10n_es.account_tax_template_p_req05,l10n_es.account_tax_template_p_req062,l10n_es.account_tax_template_p_req1,l10n_es.account_tax_template_p_req014,l10n_es.account_tax_template_p_req52,l10n_es.account_tax_template_p_iva0_s_bc,l10n_es.account_tax_template_p_iva2_bc,l10n_es.account_tax_template_p_iva2_sc,l10n_es.account_tax_template_p_iva4_bc,l10n_es.account_tax_template_p_iva4_sc,l10n_es.account_tax_template_p_iva5_bc,l10n_es.account_tax_template_p_iva5_sc,l10n_es.account_tax_template_p_iva7-5_bc,l10n_es.account_tax_template_p_iva7-5_sc,l10n_es.account_tax_template_p_iva4_bi,l10n_es.account_tax_template_p_iva4_ibc,l10n_es.account_tax_template_p_iva4_ibi,l10n_es.account_tax_template_p_iva0_ic_bc,l10n_es.account_tax_template_p_iva2_ic_bc,l10n_es.account_tax_template_p_iva4_ic_bc,l10n_es.account_tax_template_p_iva5_ic_bc,l10n_es.account_tax_template_p_iva7-5_ic_bc,l10n_es.account_tax_template_p_iva4_ic_bi,l10n_es.account_tax_template_p_iva0_isc,l10n_es.account_tax_template_p_iva2_isc,l10n_es.account_tax_template_p_iva4_sp_in,l10n_es.account_tax_template_p_iva5_isc,l10n_es.account_tax_template_p_iva7-5_isc,l10n_es.account_tax_template_p_iva4_sp_ex,l10n_es.account_tax_template_p_iva0_s_sc,l10n_es.account_tax_template_p_iva10_bc,l10n_es.account_tax_template_p_iva10_sc,l10n_es.account_tax_template_p_iva10_bi,l10n_es.account_tax_template_p_iva10_ibc,l10n_es.account_tax_template_p_iva10_ibi,l10n_es.account_tax_template_p_iva10_ic_bc,l10n_es.account_tax_template_p_iva10_ic_bi,l10n_es.account_tax_template_p_iva10_sp_in,l10n_es.account_tax_template_p_iva10_sp_ex,l10n_es.account_tax_template_p_iva10_isp,l10n_es.account_tax_template_p_iva21_bc,l10n_es.account_tax_template_p_iva21_sc,l10n_es.account_tax_template_p_iva21_bi,l10n_es.account_tax_template_p_iva21_ibc,l10n_es.account_tax_template_p_iva21_ibi,l10n_es.account_tax_template_p_iva21_ic_bc,l10n_es.account_tax_template_p_iva21_ic_bi,l10n_es.account_tax_template_p_iva21_sp_in,l10n_es.account_tax_template_p_iva21_sp_ex,l10n_es.account_tax_template_p_iva21_isp,l10n_es.account_tax_template_p_iva0_ic_sc,l10n_es.account_tax_template_p_iva2_ic_sc,l10n_es.account_tax_template_p_iva4_isp,l10n_es.account_tax_template_p_iva5_ic_sc,l10n_es.account_tax_template_p_iva7-5_ic_sc,l10n_es.account_tax_template_p_iva10_isp,l10n_es.account_tax_template_p_iva21_isp,l10n_es.account_tax_template_p_iva4_isp_bi,l10n_es.account_tax_template_p_iva10_isp_bi,l10n_es.account_tax_template_p_iva21_isp_bi"
aeat_mod390_2024_map_line_099,,"99","base","False","aeat_mod390_2024_map","all","Volumen de operaciones","both","l10n_es.account_tax_template_s_iva21b,l10n_es.account_tax_template_s_iva21s,l10n_es.account_tax_template_s_iva10b,l10n_es.account_tax_template_s_iva10s,l10n_es.account_tax_template_s_iva7-5b,l10n_es.account_tax_template_s_iva7-5s,l10n_es.account_tax_template_s_iva5b,l10n_es.account_tax_template_s_iva5s,l10n_es.account_tax_template_s_iva4b,l10n_es.account_tax_template_s_iva4s,l10n_es.account_tax_template_s_iva2b,l10n_es.account_tax_template_s_iva2s,l10n_es.account_tax_template_s_iva0b,l10n_es.account_tax_template_s_iva0s"
aeat_mod390_2024_map_line_103,,"103","base","False","aeat_mod390_2024_map","all","Entregas intracomunitarias exentas","both","l10n_es.account_tax_template_s_iva0_ic,l10n_es.account_tax_template_s_iva0_sp_i"
aeat_mod390_2024_map_line_104,,"104","base","False","aeat_mod390_2024_map","all","Exportaciones y otras operaciones exentas con derecho a deducción","both","l10n_es.account_tax_template_s_iva0_e"
aeat_mod390_2024_map_line_105,,"105","base","False","aeat_mod390_2024_map","all","Operaciones exentas sin derecho a deducción","both","l10n_es.account_tax_template_s_iva0,l10n_es.account_tax_template_s_iva0_ns"
aeat_mod390_2024_map_line_110,,"110","base","False","aeat_mod390_2024_map","all","Operaciones no sujetas por regla de localización (excepto las incluidas en la casilla 126)","both","l10n_es.account_tax_template_s_iva_e,l10n_es.account_tax_template_s_iva_ns,l10n_es.account_tax_template_s_iva_ns_b"
aeat_mod390_2024_map_line_190,,"190","base","True","aeat_mod390_2024_map","regular","IVA deducible en operaciones corrientes de bienes y servicios - Base 4%","both","l10n_es.account_tax_template_p_iva4_sc,l10n_es.account_tax_template_p_iva4_bc,l10n_es.account_tax_template_p_iva4_sp_ex,l10n_es.account_tax_template_p_iva4_isp"
aeat_mod390_2024_map_line_191,"l10n_es.account_common_472","191","amount","True","aeat_mod390_2024_map","regular","IVA deducible en operaciones corrientes de bienes y servicios - Cuota 4%","both","l10n_es.account_tax_template_p_iva4_sc,l10n_es.account_tax_template_p_iva4_bc,l10n_es.account_tax_template_p_iva4_sp_ex,l10n_es.account_tax_template_p_iva4_isp"
aeat_mod390_2024_map_line_196,,"196","base","True","aeat_mod390_2024_map","regular","IVA deducible en operaciones interiores de bienes de inversión - Base imponible 4%","both","l10n_es.account_tax_template_p_iva4_bi,l10n_es.account_tax_template_p_iva4_isp_bi"
aeat_mod390_2024_map_line_197,,"197","amount","True","aeat_mod390_2024_map","regular","IVA deducible en operaciones interiores de bienes de inversión - Cuota 4%","both","l10n_es.account_tax_template_p_iva4_bi,l10n_es.account_tax_template_p_iva4_isp_bi"
